;date;1) Person (referred to in conspiracy theories);2) Person involved in fake news fabrication;3) Fakenews movement;4) Other disease;5) Vaccin discourage term;6) Accusatory term for corona protagonist;8) Other (partly) complot theories
0;2020-06-01;80,6;0,0;19,8;51,2;25,6;52,3;5,6
1;2020-06-02;67,7;0,0;20,0;87,7;29,4;61,0;12,9
2;2020-06-03;55,4;0,0;16,3;93,8;16,0;42,0;13,7
3;2020-06-04;90,1;0,0;20,7;90,4;27,7;57,0;18,5
4;2020-06-05;60,0;0,0;23,3;84,4;39,6;46,0;11,5
5;2020-06-06;82,1;0,0;10,7;69,5;41,8;70,0;8,0
6;2020-06-07;91,0;0,0;17,8;62,9;32,2;58,2;10,0
7;2020-06-08;101,6;0,0;23,1;66,8;13,8;62,0;13,9
8;2020-06-09;84,7;0,0;7,2;73,3;25,8;46,0;5,0
9;2020-06-10;71,3;0,0;27,6;81,3;30,9;52,3;14,0
10;2020-06-11;110,4;0,0;22,3;78,8;38,2;58,5;9,0
11;2020-06-12;88,6;0,0;5,1;73,2;20,2;48,8;22,3
12;2020-06-13;127,3;0,0;14,7;73,9;40,9;74,4;17,4
13;2020-06-14;88,7;0,0;19,6;80,2;30,0;83,6;12,7
14;2020-06-15;89,6;0,0;11,6;102,1;28,6;55,7;14,3
15;2020-06-16;77,2;0,0;18,3;88,9;29,6;65,9;2,4
16;2020-06-17;87,8;0,0;7,0;96,3;47,8;38,5;7,0
17;2020-06-18;79,2;0,0;12,4;79,6;55,6;48,0;10,0
18;2020-06-19;92,3;0,0;13,6;90,4;29,5;49,0;13,5
19;2020-06-20;104,2;0,0;18,4;60,3;36,0;78,0;18,0
20;2020-06-21;85,2;28,8;16,5;132,2;47,5;74,2;45,5
21;2020-06-22;63,2;0,0;13,6;77,2;29,6;60,4;4,4
22;2020-06-23;89,5;0,0;35,2;70,2;29,5;65,0;8,0
23;2020-06-24;104,3;0,0;32,1;127,0;29,2;55,0;13,0
24;2020-06-25;47,0;0,0;0,0;0,0;0,0;0,0;0,0
25;2020-06-26;40,6;0,0;12,1;87,6;26,7;36,0;7,3
26;2020-06-27;73,9;0,0;18,2;75,8;16,0;46,2;2,8
27;2020-06-28;57,6;0,0;16,0;61,1;30,2;64,0;13,2
28;2020-06-29;50,9;0,0;11,9;102,4;28,1;51,0;5,0
29;2020-06-30;69,8;0,0;14,7;85,8;46,2;44,3;0,0
30;2020-07-01;69,0;4,8;27,2;98,2;38,8;54,0;42,8
31;2020-07-02;35,0;0,0;0,0;0,0;0,0;0,0;0,0
32;2020-07-03;63,2;0,0;15,6;77,1;26,6;80,8;10,2
33;2020-07-04;93,6;0,0;8,3;75,8;39,2;47,8;8,4
34;2020-07-05;70,2;0,0;25,4;53,8;38,3;47,5;10,4
35;2020-07-06;78,1;0,0;19,6;77,9;25,6;57,0;15,4
36;2020-07-07;79,7;0,0;22,6;69,5;20,6;71,8;7,3
37;2020-07-08;50,7;0,0;15,4;79,0;26,1;75,0;12,3
38;2020-07-09;59,1;0,0;10,4;89,9;20,0;90,9;2,7
39;2020-07-10;59,3;0,0;24,4;80,9;23,4;68,4;10,8
40;2020-07-11;64,4;0,0;18,4;66,4;33,5;58,1;5,9
41;2020-07-12;91,1;0,0;31,8;70,2;31,5;50,3;6,5
42;2020-07-13;78,8;0,0;12,4;98,9;39,0;58,0;6,0
43;2020-07-14;67,5;0,0;17,6;116,3;49,5;55,0;3,0
44;2020-07-15;57,5;0,0;30,4;91,7;47,0;73,1;5,6
45;2020-07-16;94,6;0,0;10,8;78,4;29,1;56,5;13,3
46;2020-07-17;58,1;0,0;14,3;94,7;25,9;52,4;5,6
47;2020-07-18;83,3;0,0;3,4;69,1;40,1;26,8;6,7
48;2020-07-19;61,0;0,0;18,4;73,8;21,1;66,5;15,1
49;2020-07-20;60,4;0,0;21,6;71,5;19,6;55,0;5,7
50;2020-07-21;59,2;0,0;25,5;92,7;34,0;44,4;14,5
51;2020-07-22;61,7;0,0;34,1;103,4;30,9;50,4;17,2
52;2020-07-23;76,2;0,0;19,1;72,2;24,9;46,8;5,5
53;2020-07-24;82,0;0,0;13,6;85,8;30,7;35,8;19,6
54;2020-07-25;89,4;0,0;21,5;64,1;42,6;66,0;27,4
55;2020-07-26;85,4;0,0;15,0;68,7;27,4;80,3;3,1
56;2020-07-27;122,0;0,0;13,3;73,1;11,1;62,1;8,2
57;2020-07-28;81,0;0,0;14,4;63,1;31,3;68,0;21,0
58;2020-07-29;60,8;0,0;14,8;81,6;14,4;39,0;9,0
59;2020-07-30;65,6;0,0;21,0;65,5;21,6;64,0;15,2
60;2020-07-31;85,2;0,0;26,0;68,0;22,9;66,0;3,4
61;2020-08-01;118,5;0,0;19,0;60,1;25,3;48,4;6,3
62;2020-08-02;86,5;21,8;25,0;78,1;34,5;71,7;34,2
63;2020-08-03;56,5;0,0;27,5;77,8;36,1;53,0;11,0
64;2020-08-04;51,1;33,1;33,3;130,2;28,4;66,9;42,9
65;2020-08-05;99,7;11,8;29,8;79,6;18,0;77,0;29,8
66;2020-08-06;58,8;15,3;42,0;98,8;18,0;71,6;48,0
67;2020-08-07;79,4;0,0;30,0;68,9;12,3;50,7;56,4
68;2020-08-08;101,0;10,5;47,2;95,2;27,3;56,7;37,1
69;2020-08-09;57,9;12,8;48,5;82,7;16,0;63,1;26,0
70;2020-08-10;71,4;7,9;29,8;92,1;27,1;27,6;21,3
71;2020-08-11;57,3;5,3;32,7;81,3;19,1;50,4;55,2
72;2020-08-12;43,9;17,2;25,1;84,9;24,3;61,4;19,4
73;2020-08-13;64,8;24,8;35,8;125,7;3,1;74,0;24,6
74;2020-08-14;54,4;2,2;29,0;100,1;18,9;51,8;26,7
75;2020-08-15;62,6;17,8;51,0;107,2;12,6;58,0;45,3
76;2020-08-16;69,3;5,9;40,3;77,0;32,4;77,0;21,4
77;2020-08-17;65,7;29,1;35,5;90,1;35,5;61,9;41,2
78;2020-08-18;92,3;16,5;16,5;74,8;25,1;54,0;21,6
79;2020-08-19;110,3;34,5;26,2;90,1;20,9;32,1;41,8
80;2020-08-20;66,4;10,9;60,3;101,9;53,8;60,0;19,1
81;2020-08-21;47,5;13,4;13,7;117,0;30,9;69,8;27,8
82;2020-08-22;103,5;22,5;15,5;103,2;45,7;52,2;54,8
83;2020-08-23;51,8;16,2;24,4;88,0;32,6;53,3;37,5
84;2020-08-24;75,7;12,5;37,6;68,7;27,7;25,3;17,6
85;2020-08-25;71,8;5,0;36,6;104,5;30,7;65,0;20,4
86;2020-08-26;46,8;15,0;32,9;97,3;27,1;66,0;24,0
87;2020-08-27;89,6;10,4;32,8;100,4;29,5;55,9;24,6
88;2020-08-28;79,5;24,9;21,6;114,2;26,7;55,5;37,8
89;2020-08-29;57,5;20,5;49,5;110,6;60,0;59,0;29,8
90;2020-08-30;73,9;10,5;43,6;77,2;32,8;42,5;32,3
91;2020-08-31;77,0;23,5;38,9;141,2;36,0;46,4;33,4
92;2020-09-01;58,4;18,4;20,0;82,7;30,0;28,3;32,7
93;2020-09-02;77,3;10,4;19,3;102,0;8,3;30,6;32,4
94;2020-09-03;45,6;40,7;30,1;127,0;25,3;43,6;33,1
95;2020-09-04;135,9;19,1;33,4;126,4;33,6;60,0;19,1
96;2020-09-05;67,3;8,7;17,7;68,4;18,0;54,9;49,3
97;2020-09-06;107,0;24,4;21,6;113,4;32,4;62,0;25,0
98;2020-09-07;38,4;37,1;13,0;85,3;36,1;59,0;43,9
99;2020-09-08;73,0;14,8;37,7;105,7;21,7;53,0;12,5
100;2020-09-09;81,7;25,3;48,1;105,9;17,2;61,0;30,4
101;2020-09-10;77,0;2,5;26,9;109,7;37,8;53,8;24,2
102;2020-09-11;56,4;19,6;17,9;104,5;38,3;48,3;24,6
103;2020-09-12;36,0;3,2;31,0;86,7;60,0;44,6;36,5
104;2020-09-13;52,0;49,3;36,9;80,0;44,0;33,4;36,6
105;2020-09-14;56,2;16,4;17,5;130,0;32,8;42,5;43,1
106;2020-09-15;81,0;0,0;5,3;96,8;32,0;37,6;7,9
107;2020-09-16;115,9;39,8;25,0;129,2;34,8;50,5;48,7
108;2020-09-17;60,0;15,3;15,5;104,7;30,0;42,7;27,8
109;2020-09-18;58,7;19,1;22,2;104,6;34,2;50,4;19,4
110;2020-09-19;90,9;9,5;21,9;99,9;31,4;62,0;31,2
111;2020-09-20;63,4;26,6;41,6;84,6;27,6;74,7;36,7
112;2020-09-21;64,8;39,7;18,0;157,4;39,8;36,0;35,2
113;2020-09-22;56,8;58,4;50,3;143,1;32,0;51,6;53,7
114;2020-09-23;40,0;20,1;57,7;140,5;39,0;30,0;43,8
115;2020-09-24;71,5;12,1;25,4;104,5;23,9;62,0;23,0
116;2020-09-25;71,5;17,1;33,1;133,1;32,4;45,8;28,1
117;2020-09-26;72,4;9,0;42,0;88,7;27,6;37,8;33,2
118;2020-09-27;101,4;27,7;39,6;85,2;39,6;85,3;33,4
119;2020-09-28;125,8;23,4;39,2;90,2;42,5;52,0;34,6
120;2020-09-29;59,2;55,3;49,8;148,6;24,5;60,2;46,6
121;2020-09-30;101,8;10,8;53,4;131,2;16,0;40,5;13,2
122;2020-10-01;57,0;13,3;35,9;121,8;60,3;34,0;33,3
123;2020-10-02;59,1;24,2;29,5;143,1;34,9;54,6;24,2
124;2020-10-03;56,3;18,2;24,4;92,3;21,0;46,0;30,4
125;2020-10-04;65,6;16,2;22,0;108,9;25,5;55,9;10,8
126;2020-10-05;124,5;13,5;34,3;189,3;39,0;33,0;20,7
127;2020-10-06;46,9;5,7;40,8;118,3;46,2;74,0;37,7
128;2020-10-07;29,1;20,6;27,5;112,1;22,8;37,5;20,2
129;2020-10-08;62,3;19,1;19,0;121,0;24,6;58,0;35,2
130;2020-10-09;72,3;26,7;51,4;149,8;27,1;50,4;48,3
131;2020-10-10;60,5;13,7;32,3;102,8;29,0;57,4;41,9
132;2020-10-11;64,0;2,8;45,1;96,0;24,2;60,9;14,8
133;2020-10-12;29,0;0,0;0,0;0,0;0,0;0,0;0,0
134;2020-10-13;50,5;11,2;41,4;100,2;25,5;30,2;66,6
135;2020-10-14;100,1;8,6;45,3;101,2;47,0;54,1;22,6
136;2020-10-15;44,2;9,6;36,3;147,7;21,0;56,0;36,4
137;2020-10-16;58,2;12,1;62,6;110,2;36,6;67,0;23,9
138;2020-10-17;115,9;13,5;32,4;78,6;19,5;59,4;16,4
139;2020-10-18;95,0;31,3;25,0;102,9;48,0;63,0;26,9
140;2020-10-19;73,3;31,0;21,6;126,4;44,4;52,0;33,2
141;2020-10-20;81,4;7,9;16,7;134,0;16,9;30,8;33,7
142;2020-10-21;81,7;5,6;35,8;89,8;27,9;38,9;19,3
143;2020-10-22;75,5;8,9;35,1;109,3;34,8;42,3;29,0
144;2020-10-23;68,2;53,9;17,8;98,2;33,5;89,3;24,6
145;2020-10-24;67,0;34,1;43,0;86,7;56,5;47,5;54,6
146;2020-10-25;90,3;0,0;18,0;75,4;20,4;36,0;21,4
147;2020-10-26;51,0;0,0;0,0;0,0;0,0;0,0;0,0
148;2020-10-27;55,7;2,7;16,7;115,9;25,1;57,9;27,9
149;2020-10-28;58,1;8,6;20,1;144,5;34,6;41,6;25,4
150;2020-10-29;41,9;20,2;22,5;88,5;30,9;44,8;25,1
151;2020-10-30;93,1;8,4;29,7;139,8;14,4;76,0;60,6
152;2020-10-31;78,4;22,6;25,2;70,3;31,5;38,0;28,6
153;2020-11-01;60,5;23,2;26,2;90,9;30,0;75,0;21,0
154;2020-11-02;41,0;18,6;26,8;127,8;18,9;47,1;18,8
155;2020-11-03;37,6;18,0;42,4;83,4;26,9;41,8;24,0
156;2020-11-04;44,8;26,4;12,0;132,4;38,4;44,0;42,6
157;2020-11-05;83,2;16,5;32,8;98,3;19,1;55,0;39,9
158;2020-11-06;46,5;64,4;36,0;106,8;53,9;43,0;32,6
159;2020-11-07;95,0;8,8;27,2;55,8;26,2;56,6;18,3
160;2020-11-08;75,6;12,1;24,0;81,9;15,6;57,6;45,0
161;2020-11-09;74,0;19,3;37,6;157,7;16,0;60,2;35,0
162;2020-11-10;67,4;36,6;37,8;122,6;39,3;52,2;38,8
163;2020-11-11;66,0;10,7;29,8;145,5;16,1;31,7;24,6
164;2020-11-12;69,8;37,2;19,8;108,6;42,6;56,8;50,5
165;2020-11-13;69,2;12,4;18,4;92,4;21,9;54,0;36,6
166;2020-11-14;66,8;13,6;0,0;20,4;0,0;6,8;13,6
167;2020-11-15;85,1;3,4;41,2;98,7;39,6;53,0;45,8
168;2020-11-16;81,0;43,9;25,7;138,3;43,8;81,0;54,6
169;2020-11-17;74,3;3,0;34,3;164,5;36,6;90,8;40,0
170;2020-11-18;67,9;0,0;20,0;105,9;37,1;45,7;2,8
171;2020-11-19;54,1;5,7;65,8;142,4;25,2;51,0;48,4
172;2020-11-20;97,0;20,2;18,6;134,8;29,4;86,0;12,7
173;2020-11-21;80,4;9,2;35,8;91,6;36,6;48,9;27,0
174;2020-11-22;66,1;12,0;27,3;94,1;27,6;72,0;24,0
175;2020-11-23;52,6;7,9;41,6;76,7;22,0;64,2;24,8
176;2020-11-24;57,4;0,0;22,0;81,2;16,2;55,9;11,0
177;2020-11-25;61,3;8,4;22,6;84,4;25,6;55,0;22,5
178;2020-11-26;51,4;8,1;14,0;120,2;25,6;90,0;27,3
179;2020-11-27;33,7;0,0;20,4;61,6;23,3;70,0;7,1
180;2020-11-28;59,0;20,2;18,4;85,0;32,4;57,0;18,4
181;2020-11-29;83,1;49,0;39,5;100,4;30,6;79,0;12,1
182;2020-11-30;49,7;30,1;35,4;90,9;25,3;83,2;25,5
183;2020-12-01;60,7;21,8;22,3;95,9;38,2;62,3;46,9
